Tier,School Name,Address,Board,Primary Email,All Emails,Email Count,Phone,Website,Status
Above 2 lakhs,Sadhbhavana World School,"Kozhikode, Calicut","IGCSE & CIE, CBSE",admissions@sadhbhavanaschool.org,admissions@sadhbhavanaschool.org; info@sadhbhavanaschool.org,2,"Phone number:
+91 944 664 6464, +91 495 235 1651, +91 495 235 1652

Landline:
+91 495 235 1652","
sadhbhavanaschool.org",Ready
Above 2 lakhs,The Village International School,"Kumaramangalam, Thodupuzha",CBSE,admissions@villageschool.in,admissions@villageschool.in,1,"Phone number:
+91 974 440 1975, +91 907 240 1975",villageinternationalschool.com,Ready
Above 2 lakhs,Sree Chithira Thirunal Residential Central School,"95V4+RHP, Chimmendi Rd, Thiruvananthapuram, Kerala 695504",CBSE,sctrcskkl@gmail.com,sctrcskkl@gmail.com,1,"0471 2250395
0471 2252505
0471 2250390
",,Ready
Above 2 lakhs,Labour India Public School & Junior College,"Marangattupilly, Kottayam",CBSE,info@gurukulam.com,info@gurukulam.com,1,"Phone number:
+91 482 225 0366, +91 482 225 1366, +91 482 225 0466

Landline:
+91 989 505 2166","
labourindiacollege.com",Ready
Above 2 lakhs,Mar Thoma Residential School,"Kuttapuzha, Tiruvalla",ICSE,mtrschool@gmail.com,mtrschool@gmail.com,1,"Phone number:
+91 469 270 1298, +91 469 273 5790, +91 469 270 0114",,Ready
Above 2 lakhs,De Paul International Residential School,"Erattayar, Idukki","CBSE, IGCSE, CBSE",info@dpriskerala.com,info@dpriskerala.com,1,"Phone number:
+91 811 199 5672, +91 811 199 5671
",dpirsk.com,Ready
Above 2 lakhs,M.E.S. Raja Residential School,"Poolacode, Calicut",CBSE,mesrajac@gmail.com,mesrajac@gmail.com,1,"Phone number:
+91 495 228 7257, +91 495 228 7490, +91 953 987 2111

Landline:
+91 495 228 8097",mesrajaschool.com,Ready
Above 2 lakhs,MES International School,"Pattambi, Palakkad",CBSE,messchool@mespattambi.org,messchool@mespattambi.org; pst.mespts@gmail.com,2,"Phone number:
+91 953 914 9000, +91 974 502 9000, +91 906 154 9000

Landline:
+91 974 522 9000","
mespattambi.org",Ready
Above 2 lakhs,"The Oxford School, Kollam","Kollam, Kollam",CBSE,oxford@mhtrust.com,oxford@mhtrust.com,1,"Phone number:
+91 984 726 2474, +91 702 511 2200, +91 474 253 3541

Landline:
+91 474 253 3542",oxfordkollam.edu.in,Ready
Above 1 lakhs,Toc H Public school,"Vyttila, Kochi",CBSE,tochschoolvyttila@gmail.com,tochschoolvyttila@gmail.com; tochkochi19@gmail.com,2,"Phone number:
+91 484 230 4468, +91 484 230 6951",tochschool.com,Ready
Above 1 lakhs,The Rajas International School,"Kurichy, Kottayam","CBSE, IGCSE",trischoolkottayam@gmail.com,trischoolkottayam@gmail.com,1,"Phone number:
+91 808 950 5069, +91 481 243 5201

Landline:
+91 481 243 5101","
triskottayam.com",Ready
Above 1 lakhs,Marygiri CMI Public School,"Ernakulam, Ernakulam",CBSE,office@marygiri.org,office@marygiri.org,1,"Phone number:
+91 906 105 2079, +91 974 446 5533, +91 485 225 2079","
marygiri.org",Ready
Above 1 lakhs,St. Marys Residential Central School,"Thiruvalla, Thiruvalla",CBSE,stmaryrcschool@gmail.com,stmaryrcschool@gmail.com,1,"Phone number:
+91 919 249 4557, +91 924 945 5768, +91 469 260 5739

Landline:
+91 469 260 0710",stmarysrps.in,Ready
Above 1 lakhs,Sree Chithira Thirunal Residential Central School,"Thiruvananthapuram, Thiruvananthapuram",CBSE,sctrcs_kkl@yahoo.co.in,sctrcs_kkl@yahoo.co.in; sctrcskkl@gmail.com,2,"Phone number:
+91 471 225 0395, +91 471 225 2505, +91 471 225 0390

Landline:
+91 471 225 2474","
sreechithirathirunalschool.edu.in",Ready
Above 1 lakhs,Stella Maris International Boarding School,"Kozhikode, Kozhikkode",CBSE,stellamarisboardingschool@gmail.com,stellamarisboardingschool@gmail.com,1,"Phone number:
+91 944 682 3952, +91 914 269 4299

Landline:
+91 495 225 5151",stellamaris.in,Ready
Above 1 lakhs,Sainik School,"Thiruvananthapuram, Trivandrum",CBSE,sainikschooltvm@gmail.com,sainikschooltvm@gmail.com,1,"Phone number:
+91 471 278 1400, +91 471 278 1405",sainikschooltvm.edu.in,Ready
Above 1 lakhs,Gems Modern Academy,"Brahmapuram, Kochi","IB PYP, IGCSE",,,0,"Phone number:
+91 799 420 5050, +91 799 430 2020",gemsmodernacademy-kochi.in,MISSING EMAIL - needs lookup
Above 1 lakhs,Holy Grace Academy,"Kuruvilassery, Trichur",CBSE,info@holygraceacademy.com,info@holygraceacademy.com,1,"Phone number:
+91 894 325 0006, +91 480 289 1647, +91 480 289 3366

Landline:
+91 480 289 3366",holygraceacademy.com,Ready
Above 1 lakhs,Dayapuram Residential School,"Kattangal, Calicut",CBSE,info@dayapuram.org,info@dayapuram.org,1,"Phone number:
+91 495 228 7236, +91 495 228 7136, 0495-2287836

Landline:
+91 495 228 7836","
dayapuram.org",Ready
Above 1 lakhs,MAR THOMA CENTRAL SCHOOL,"Kaviyoor, Pathanamthitta",CBSE,mtcstvla@gmail.com,mtcstvla@gmail.com,1,"Phone number:
+91 469 263 0112, +91 920 732 6707, +91

Landline:
+91 469 269 0100",mtcs.in,Ready
Above 1 lakhs,TOLINS WORLD SCHOOL,"Naduvattam, Ernakulam",CBSE,info@tolinsschool.org,info@tolinsschool.org,1,"Phone number:
+91 484 292 2222

Landline:
+91 484 292 2200",tolinsschool.org,Ready
Above 1 lakhs,Alphonsa Residential School,"Bharananganam, Palai",ICSE,alphresi@yahoo.co.in,alphresi@yahoo.co.in; arsbhm1972@gmail.com,2,"Phone number:
+91 482 223 6317, +91 944 604 4317, +91 949 754 7246

Landline:
+91 944 652 0571",alphonsaresidentialschool.in,Ready
Above 1 lakhs,Prabhath Residential Public School,"Pallikkara, Kochi",CBSE,wccprabhath@gmail.com,wccprabhath@gmail.com,1,"Phone number:
+91 907 276 2835, +91 755 805 2835, +91 484 268 2880

Landline:
+91 484 268 1640",prabhathresidentialschool.com,Ready
Above 1 lakhs,Citadel Residential School,"Ranni, Pathanamthitta",CBSE,citadelschool@gmail.com,citadelschool@gmail.com,1,"Phone number:
+91 949 636 3534, +91 473 520 0568, +91 473 520 0594",citadelschoolranni.com,Ready
Above 1 lakhs,St. Thomas Residential School,"Thiruvananthapuram, Thiruvananthapuram","ICSE, State Board",strs@stthomastvm.edu.in,strs@stthomastvm.edu.in,1,"Phone number:
+91 471 251 1122, +91 471 251 1330

Landline:
+91 471 251 1331",stthomastvm.edu.in,Ready
Above 1 lakhs,Shalom Residential Public School,"Chittur, Palakkad",CBSE,srpschittur@gmail.com,srpschittur@gmail.com; 76030@cbseshiksha.in,2,"Phone number:
+91 953 901 0427",shalomschool.co.in,Ready
Above 1 lakhs,Sabarigiri Residential School,"Agasthicode, Kollam","CBSE, State Board",sabarigiriresidentialschool@gmail.com,sabarigiriresidentialschool@gmail.com,1,"Phone number:
+91 475 227 3862, +91 974 665 4440, +91 807 873 1900

Landline:
+91 475 325 3962",sabarigirischool.in,Ready
Above 1 lakhs,Mount Seena Group of Institutions,"Pathirippala, Palakkad","CBSE, State Board",mountseenagi@gmail.com,mountseenagi@gmail.com; englishschool@mountseena.com,2,"Phone number:
+91 623 832 4507,",mountseena.com,Ready
Above 1 lakhs,Marygiri English Medium School,"Koottumugham, Kannur",CBSE,mgemsskpm@bsnl.in,mgemsskpm@bsnl.in; marygirienglishmedium@gmail.com,2,"Phone number:
+91 949 767 3475, +91 460 223 2388, +91 944 628 5719

Landline:
+91 460 223 1211",marygiri.com,Ready
Above 1 lakhs,Sacred Heart Public School,"Kottayam, Kottayam",CBSE,info@shpublicschool.org,info@shpublicschool.org; shps1996@yahoo.co.in,2,"Phone number:
+91 944 689 9452, +91 944 689 9454, +91 481 231 2390

Landline:
+91 859 383 4574",shpublicschool.org,Ready
Above 1 lakhs,Noble Public School,"Manjeri, MALAPPURAM",CBSE,office@noblepublicschool.org,office@noblepublicschool.org,1,"Phone number:
+91 859 299 9371, +91 859 299 9370, +91 854 753 0364

Landline:
+91 483 276 8150",noblepublicschool.org,Ready
Above 1 lakhs,"The Rajas International School, Kurichy, Kottayam","Homeo College Road Sachivothamapuram P.O. Kurichy, Kottayam - 686532 Kerala",,trischoolkottayam@gmail.com,trischoolkottayam@gmail.com,1,"Phone number:
+91 481-2435101, +91 7092233382
",,Ready
Above 1 lakhs,Navabharath Central School,"Peruvallur, MALAPPURAM",CBSE,nbcsvalakkandy@gmail.com,nbcsvalakkandy@gmail.com,1,Phone number: +91 9562104111 / 0494-2435390 / 0494-2435333,navabharathcentralschool.in,Ready
BW 50K & 1 Lakhs,Sanskara School,"Phase II Infopark, Kochi",CBSE,admissions@sanskaraschool.com,admissions@sanskaraschool.com; info@sanskaraschool.com,2,"Phone Number : +91 956 705 8827, +91 735 607 7755, +91 808 623 5195",—,Ready
BW 50K & 1 Lakhs,Vedavyasa Vidyalayam,"P.O. Malaparamba, Kozhikode (Calicut)",CBSE,vvvprincipal@gmail.com,vvvprincipal@gmail.com; vvvofficer@gmail.com,2,"Phone Number : +91 934 494 2079, +91 495 237 1577",vedavyasavidyalayam.org,Ready
BW 50K & 1 Lakhs,"Navy Children School, Kochi","Willingdon Island, Kochi",CBSE,ncsk@asianetindia.com,ncsk@asianetindia.com; ncskprimary@asianetindia.com,2,"Phone Number : +91 944 705 2500, +91 484 287 4792, +91 484 287 4791",ncskochi.nesnavy.in,Ready
BW 50K & 1 Lakhs,Navabharath Central School,"Peruvallur, Malappuram",CBSE,nbcsvalakkandy@gmail.com,nbcsvalakkandy@gmail.com,1,"Phone Number : +91 956 210 4111, +91 494 243 5390, +91 494 243 5333",navabharathcentralschool.in,Ready
BW 50K & 1 Lakhs,St. Maria Goretti Public School,"Maradu, Ernakulam",CBSE,mariagorettipublicschool@gmail.com,mariagorettipublicschool@gmail.com,1,"Phone Number : +91 484 270 1722, +91 830 188 3453",mariagorettischool.com,Ready
BW 50K & 1 Lakhs,Sadhbhavana World School,Kozhikode (Calicut),CBSE,info@sadhbhavana.com,info@sadhbhavana.com,1,Phone Number : +91 495 274 1000,sadhbhavana.com,Ready
BW 50K & 1 Lakhs,The White School International,"Perumanna, Calicut",CBSE,info@twsinternational.in,info@twsinternational.in,1,Phone Number : +91 952 607 7778,thewhiteschool.in,Ready
BW 50K & 1 Lakhs,Assisi Vidyaniketan Public School,"Attipetty Nagar, Chembumukku, Kakkanad, Kochi – 682021",CBSE,info@assisi.ac.in,info@assisi.ac.in,1,Phone Number : +91 484 242 1111,assisi.ac.in,Ready
BW 50K & 1 Lakhs,Nicholson Syrian Girls HSS,"Manjadi, Thiruvalla",State,nicholsonsyrianschool@gmail.com,nicholsonsyrianschool@gmail.com,1,"Phone Number : +91 469 260 1335, +91 469 262 2725, +91 905 490 2401, +91 944 699 1926",nicholsonsyriangirlsschool.org,Ready
BW 50K & 1 Lakhs,The Indian Public School (TIPS),"Kakkanad, Kochi",ICSE / IGCSE / IB,,,0,"Phone Number : +91 484 485 4850, +91 484 485 5507, +91 484 223 8722",tipskochi.com,MISSING EMAIL - needs lookup
BW 50K & 1 Lakhs,Devamatha CMI International School,"Thangaloor, Thrissur",IGCSE / CBSE,office@idevamatha.com,office@idevamatha.com,1,Phone Number : +91 488 529 6600,idevamatha.com,Ready
BW 50K & 1 Lakhs,St. Patrick's Academy,"Angamaly, Ernakulam",ICSE,principal@stpatricksacademy.in,principal@stpatricksacademy.in; admin@stpatricksacademy.in,2,Phone Number : +91 484 246 3023,stpatricksacademy.in,Ready
BW 50K & 1 Lakhs,The Cochin Public School,"Kalamassery, Ernakulam",CBSE,info@cochinpublicschool.com,info@cochinpublicschool.com,1,Phone Number : +91 484 254 6789,cochinpublicschool.com,Ready
BW 50K & 1 Lakhs,Global Public School (CBSE),"Kadavanthra, Kochi",CBSE,info@globalpublicschool.org,info@globalpublicschool.org,1,Phone Number : +91 484 235 8080,globalpublicschool.org,Ready
BW 50K & 1 Lakhs,Nirmalamatha Central School,"Kizhakkumpattukara Rd, East Fort, Pallikkulam, Thrissur – 680005",CBSE,nmcsthrissur@gmail.com,nmcsthrissur@gmail.com,1,Phone Number : +91 487 232 4567,—,Ready
BW 50K & 1 Lakhs,Chinmaya Vidyalaya (West Kochi),"Chinmaya Nagar, West Kochi",CBSE,,,0,Phone Number : +91 484 221 3636,chinmayawestkochi.edu.in,MISSING EMAIL - needs lookup
BW 50K & 1 Lakhs,"Chinmaya Vidyalaya, Vaduthala","Pallikavu Temple Rd, Vaduthala, Kochi – 682023",CBSE,chinmayaschoolvaduthala@gmail.com,chinmayaschoolvaduthala@gmail.com,1,"Phone Number : +91 484 240 2861, +91 484 240 0617",chinmayavaduthala.edu.in,Ready
BW 50K & 1 Lakhs,"Little Flower School, Angamaly","Angamaly, Ernakulam",CBSE,,,0,Phone Number : +91 484 245 2222,—,MISSING EMAIL - needs lookup
BW 50K & 1 Lakhs,St. Joseph's Boys Higher Secondary School,"Devagiri, Kozhikode – 673008",State,sjbhss@gmail.com,sjbhss@gmail.com,1,Phone Number : +91 495 236 0540,—,Ready
BW 50K & 1 Lakhs,"Loyola School, Sreekariyam","Sreekariyam – Aakkulam Rd, Thiruvananthapuram – 695017",CBSE / ICSE,loyolaicse@loyolatvm.com,loyolaicse@loyolatvm.com; loyolacbse@loyolatvm.com,2,Phone Number : +91 471 259 8585,loyolaschooltrivandrum.com,Ready
BW 50K & 1 Lakhs,Bhavan's Adarsha Vidyalaya,"Chittethukara, Kakkanad, Kochi",CBSE,,,0,Phone Number : +91 484 242 1234,bhavans.info,MISSING EMAIL - needs lookup
BW 50K & 1 Lakhs,Bhavan's Varuna Vidyalaya,"Bharata Mata College Rd, NPOL Campus, Thrikkakara, Kochi – 682021",CBSE,bhavansvaruna@bhavans.info,bhavansvaruna@bhavans.info,1,Phone Number : +91 484 241 0234,bhavans.info,Ready
BW 50K & 1 Lakhs,"Bhavan's Vidya Mandir, Girinagar","Girinagar, Ernakulam, Kochi",CBSE,,,0,Phone Number : +91 484 235 4025,bhavansgirinagar.ac.in,MISSING EMAIL - needs lookup
BW 50K & 1 Lakhs,Campion School,"Changampuzha Cross Rd, Ponekkara, Edappally, Kochi – 682024",CBSE,campioncochin@gmail.com,campioncochin@gmail.com,1,"Phone Number : +91 484 234 7613, +91 484 234 9973",campioncochin.edu.in,Ready
BW 50K & 1 Lakhs,"Montfort School, Anakkara","SH 19 Bypass, Anakkara, Idukki – 685512",CBSE,montfortanakkara@gmail.com,montfortanakkara@gmail.com,1,"Phone Number : +91 4868 282 598, +91 730 660 9450",montfortanakkara.com,Ready
